EmployeeNumber,Department,JobRole,Age,MonthlyIncome,YearsAtCompany,JobSatisfaction,OverTime,Attrition,AttritionRisk,RiskTier
287,Research & Development,Healthcare Representative,40,4876,3,4,No,No,0.213,Low
288,Research & Development,Healthcare Representative,46,9396,4,1,No,No,0.1504,Low
291,Sales,Sales Executive,32,10400,14,4,No,Yes,0.4751,Medium
292,Research & Development,Manufacturing Director,30,8474,11,3,No,No,0.1754,Low
293,Sales,Sales Executive,27,9981,7,3,No,No,0.1852,Low
296,Research & Development,Research Director,51,12490,10,2,No,No,0.1491,Low
297,Research & Development,Research Scientist,30,2657,5,1,Yes,Yes,0.782,Critical
298,Sales,Manager,41,13591,1,4,Yes,No,0.2722,Low
299,Sales,Sales Executive,30,6696,6,1,No,Yes,0.7459,Critical
300,Research & Development,Research Scientist,29,2058,6,3,No,Yes,0.2462,Low
302,Sales,Sales Executive,45,8865,19,4,No,No,0.2724,Low
303,Sales,Sales Executive,54,5940,6,1,No,No,0.1345,Low
304,Research & Development,Laboratory Technician,36,5914,13,2,No,No,0.1966,Low
305,Research & Development,Research Scientist,33,2622,3,2,No,No,0.4416,Medium
306,Research & Development,Research Director,37,12185,10,4,Yes,No,0.1463,Low
307,Sales,Sales Executive,38,10609,16,3,No,No,0.1507,Low
308,Research & Development,Manufacturing Director,31,4345,5,3,No,No,0.1675,Low
309,Research & Development,Research Scientist,59,2177,1,4,No,No,0.2471,Low
311,Sales,Sales Representative,37,2793,9,4,No,No,0.2438,Low
312,Sales,Sales Executive,29,7918,11,4,No,No,0.1538,Low
314,Sales,Sales Executive,35,8789,10,3,No,No,0.1647,Low
315,Research & Development,Research Scientist,29,2389,4,4,Yes,Yes,0.741,Critical
316,Research & Development,Laboratory Technician,52,3212,2,4,No,No,0.2991,Low
319,Research & Development,Manager,42,19232,22,4,No,No,0.0918,Low
321,Human Resources,Human Resources,59,2267,2,3,No,No,0.3231,Medium
323,Sales,Manager,50,19517,7,4,No,No,0.0706,Low
325,Research & Development,Laboratory Technician,33,2436,5,4,Yes,Yes,0.7912,Critical
327,Sales,Manager,43,16064,17,4,Yes,No,0.1548,Low
328,Research & Development,Laboratory Technician,33,2707,9,1,No,Yes,0.6901,High
329,Sales,Manager,52,19068,33,3,Yes,No,0.2844,Low
330,Sales,Sales Representative,32,3931,4,2,No,No,0.2827,Low
331,Research & Development,Laboratory Technician,32,3730,3,3,Yes,Yes,0.4864,Medium
332,Research & Development,Laboratory Technician,39,2232,3,3,No,No,0.1781,Low
333,Sales,Sales Executive,32,4465,3,4,No,No,0.3024,Medium
334,Research & Development,Research Scientist,41,3072,1,1,No,No,0.2885,Low
335,Research & Development,Research Scientist,40,3319,9,4,No,No,0.1496,Low
336,Research & Development,Manager,45,19202,24,4,No,No,0.0737,Low
337,Research & Development,Research Director,31,13675,2,3,No,No,0.3053,Medium
338,Research & Development,Research Scientist,33,2911,2,4,No,No,0.2699,Low
339,Research & Development,Manufacturing Director,34,5957,11,1,No,No,0.2399,Low
340,Research & Development,Research Scientist,37,3920,3,1,No,No,0.2333,Low
341,Research & Development,Manufacturing Director,45,6434,3,3,No,No,0.1411,Low
342,Research & Development,Manufacturing Director,37,10048,1,3,No,Yes,0.5095,High
343,Research & Development,Healthcare Representative,39,10938,19,3,No,No,0.1463,Low
346,Research & Development,Research Scientist,29,2340,6,4,No,No,0.2454,Low
347,Research & Development,Research Scientist,42,6545,3,1,Yes,No,0.394,Medium
349,Sales,Sales Executive,29,6931,3,4,No,No,0.1568,Low
350,Research & Development,Manufacturing Director,25,4898,4,3,No,No,0.1651,Low
351,Research & Development,Laboratory Technician,42,2593,9,1,Yes,No,0.3427,Medium
352,Research & Development,Research Director,40,19436,21,3,No,No,0.065,Low
353,Research & Development,Research Scientist,51,2723,1,4,No,No,0.2998,Low
355,Research & Development,Laboratory Technician,31,3479,5,2,No,Yes,0.6954,High
359,Research & Development,Laboratory Technician,32,2794,5,2,No,No,0.3262,Medium
361,Sales,Sales Executive,38,5249,8,4,No,No,0.1687,Low
362,Research & Development,Laboratory Technician,32,2176,6,1,No,No,0.4001,Medium
363,Sales,Manager,46,16872,7,2,Yes,No,0.3336,Medium
364,Research & Development,Laboratory Technician,28,3485,0,3,No,Yes,0.7459,Critical
366,Sales,Sales Executive,29,6644,0,2,No,No,0.4054,Medium
367,Research & Development,Healthcare Representative,31,5582,9,4,No,No,0.2156,Low
369,Research & Development,Healthcare Representative,25,4000,6,1,No,No,0.1598,Low
372,Research & Development,Healthcare Representative,45,13496,20,4,Yes,No,0.1964,Low
373,Research & Development,Laboratory Technician,36,3210,15,4,No,No,0.0952,Low
374,Research & Development,Manager,55,19045,36,1,Yes,No,0.1344,Low
376,Research & Development,Manager,47,11849,10,2,Yes,Yes,0.7632,Critical
377,Research & Development,Research Scientist,28,2070,5,4,No,No,0.133,Low
378,Sales,Sales Executive,37,6502,5,4,No,No,0.1856,Low
379,Research & Development,Research Scientist,21,3230,3,3,No,No,0.4356,Medium
380,Research & Development,Research Director,37,13603,5,4,Yes,No,0.1584,Low
381,Research & Development,Manager,35,11996,7,2,No,No,0.1793,Low
382,Sales,Sales Executive,38,5605,8,1,Yes,No,0.4241,Medium
384,Research & Development,Manufacturing Director,26,6397,6,2,No,No,0.1407,Low
385,Research & Development,Research Director,50,19144,10,2,No,No,0.1083,Low
386,Research & Development,Research Director,53,17584,5,3,Yes,No,0.1104,Low
387,Sales,Sales Executive,42,4907,20,3,No,No,0.2131,Low
388,Sales,Sales Executive,29,4554,10,4,No,No,0.23,Low
389,Research & Development,Laboratory Technician,55,5415,10,4,Yes,No,0.2698,Low
390,Research & Development,Healthcare Representative,26,4741,5,1,Yes,No,0.591,High
391,Research & Development,Research Scientist,37,2115,17,4,No,No,0.133,Low
392,Research & Development,Laboratory Technician,44,3161,1,3,Yes,Yes,0.7699,Critical
393,Research & Development,Healthcare Representative,38,5745,2,4,No,No,0.247,Low
394,Research & Development,Laboratory Technician,26,2373,3,2,Yes,Yes,0.7832,Critical
395,Research & Development,Research Scientist,28,3310,5,4,No,No,0.142,Low
396,Research & Development,Research Director,49,18665,3,1,Yes,No,0.3351,Medium
397,Research & Development,Research Scientist,36,4485,8,2,No,No,0.3117,Medium
399,Sales,Sales Representative,31,2789,2,2,No,No,0.4528,Medium
401,Sales,Sales Executive,26,5828,8,4,Yes,Yes,0.6205,High
403,Research & Development,Research Scientist,37,2326,4,4,Yes,No,0.4049,Medium
404,Sales,Sales Executive,42,13525,20,2,No,No,0.21,Low
405,Research & Development,Laboratory Technician,18,1420,0,3,No,Yes,0.7681,Critical
406,Sales,Sales Executive,35,8020,11,2,No,No,0.1686,Low
407,Research & Development,Laboratory Technician,36,3688,1,4,No,No,0.2263,Low
408,Research & Development,Manufacturing Director,51,5482,4,2,No,No,0.1535,Low
410,Sales,Manager,41,16015,22,2,No,No,0.1111,Low
411,Sales,Sales Representative,18,1200,0,3,No,No,0.8116,Critical
412,Research & Development,Healthcare Representative,28,5661,8,1,No,No,0.2195,Low
416,Sales,Sales Executive,31,6929,8,4,No,No,0.2529,Low
417,Research & Development,Healthcare Representative,39,9613,18,4,No,No,0.068,Low
419,Research & Development,Laboratory Technician,36,5674,9,2,No,No,0.1937,Low
420,Sales,Sales Executive,32,5484,13,3,No,No,0.1862,Low
421,Research & Development,Research Director,38,12061,10,2,No,No,0.1903,Low
422,Research & Development,Healthcare Representative,58,5660,5,3,Yes,No,0.2361,Low
423,Research & Development,Research Scientist,31,4821,5,4,Yes,No,0.294,Low
424,Human Resources,Human Resources,31,6410,2,1,No,No,0.6045,High
425,Research & Development,Laboratory Technician,45,5210,24,1,No,No,0.1726,Low
426,Research & Development,Research Scientist,31,2695,2,4,Yes,No,0.477,Medium
428,Research & Development,Manager,33,11878,10,2,No,No,0.1817,Low
429,Research & Development,Manager,39,17068,21,1,Yes,No,0.2451,Low
430,Research & Development,Laboratory Technician,43,2455,8,4,No,No,0.167,Low
431,Research & Development,Healthcare Representative,49,13964,7,3,Yes,No,0.2538,Low
433,Research & Development,Research Scientist,52,4941,8,2,No,Yes,0.4996,Medium
434,Research & Development,Research Scientist,27,2478,4,2,Yes,No,0.7182,Critical
436,Sales,Sales Executive,32,5228,13,2,Yes,No,0.5231,High
437,Sales,Sales Executive,27,4478,5,3,Yes,No,0.4946,Medium
438,Sales,Sales Executive,31,7547,7,4,No,No,0.126,Low
439,Research & Development,Research Scientist,32,5055,7,4,No,No,0.2466,Low
440,Research & Development,Research Scientist,28,3464,3,4,Yes,Yes,0.8602,Critical
441,Research & Development,Research Scientist,30,5775,10,4,No,No,0.0857,Low
442,Research & Development,Manufacturing Director,31,8943,10,3,No,No,0.1672,Low
444,Research & Development,Manager,39,19272,21,4,No,No,0.1169,Low
445,Sales,Sales Executive,39,5238,1,3,Yes,Yes,0.6808,High
446,Sales,Sales Executive,33,4682,7,4,No,No,0.3368,Medium
447,Research & Development,Research Director,47,18300,3,3,No,No,0.0702,Low
448,Research & Development,Laboratory Technician,43,5257,9,3,No,No,0.1747,Low
449,Sales,Sales Executive,27,6349,5,2,Yes,No,0.3675,Medium
450,Research & Development,Research Scientist,54,4869,4,3,No,No,0.1498,Low
451,Research & Development,Healthcare Representative,43,9985,1,1,No,No,0.3216,Medium
452,Research & Development,Research Scientist,45,3697,10,4,No,No,0.1954,Low
453,Sales,Sales Executive,40,7457,4,4,Yes,No,0.3336,Medium
454,Research & Development,Laboratory Technician,29,2119,7,1,Yes,Yes,0.8674,Critical
455,Research & Development,Laboratory Technician,29,3983,3,4,No,No,0.3228,Medium
456,Sales,Sales Executive,30,6118,10,3,No,No,0.1474,Low
458,Sales,Sales Executive,27,6214,8,2,No,No,0.1677,Low
460,Research & Development,Manufacturing Director,37,6347,6,4,No,No,0.1163,Low
461,Research & Development,Research Director,38,11510,11,4,Yes,No,0.1789,Low
462,Research & Development,Manufacturing Director,31,7143,11,4,Yes,No,0.2945,Low
463,Sales,Sales Executive,29,8268,7,2,Yes,No,0.3808,Medium
464,Research & Development,Manufacturing Director,35,8095,16,2,No,No,0.1067,Low
465,Research & Development,Research Scientist,23,2904,4,4,No,No,0.1712,Low
466,Research & Development,Manufacturing Director,41,6032,5,2,Yes,No,0.4582,Medium
467,Sales,Sales Representative,47,2976,0,3,No,No,0.4532,Medium
468,Research & Development,Research Director,42,15992,1,4,No,No,0.1975,Low
469,Sales,Sales Executive,29,4649,4,3,No,No,0.1904,Low
470,Human Resources,Human Resources,42,2696,3,3,Yes,No,0.3144,Medium
471,Research & Development,Laboratory Technician,32,2370,8,2,No,No,0.1496,Low
473,Sales,Manager,48,12504,0,3,No,No,0.3859,Medium
474,Research & Development,Research Scientist,37,5974,7,1,Yes,No,0.2436,Low
475,Sales,Sales Executive,30,4736,2,3,Yes,No,0.6423,High
476,Sales,Sales Executive,26,5296,8,3,No,No,0.1958,Low
477,Research & Development,Healthcare Representative,42,6781,1,4,No,No,0.2786,Low
478,Sales,Sales Representative,21,2174,3,2,Yes,Yes,0.8597,Critical
479,Sales,Sales Executive,36,6653,1,4,No,No,0.2336,Low
481,Sales,Sales Executive,36,9699,13,4,No,No,0.231,Low
482,Research & Development,Healthcare Representative,57,6755,3,3,No,No,0.1356,Low
483,Research & Development,Laboratory Technician,40,2213,7,3,Yes,No,0.2658,Low
484,Sales,Sales Representative,21,2610,3,4,No,No,0.458,Medium
485,Sales,Sales Representative,33,2851,1,3,Yes,Yes,0.8518,Critical
486,Research & Development,Laboratory Technician,37,3452,5,1,No,No,0.2962,Low
487,Research & Development,Manufacturing Director,46,5258,1,3,No,No,0.1727,Low
488,Sales,Sales Executive,41,9355,8,2,No,Yes,0.472,Medium
491,Research & Development,Healthcare Representative,50,10496,4,4,No,No,0.166,Low
492,Sales,Sales Executive,40,6380,6,3,Yes,Yes,0.7255,Critical
493,Research & Development,Research Scientist,31,2657,2,2,Yes,No,0.6889,High
494,Sales,Sales Representative,21,2716,1,2,No,Yes,0.7252,Critical
495,Research & Development,Research Scientist,29,2201,3,4,No,No,0.3945,Medium
496,Research & Development,Healthcare Representative,35,6540,1,2,No,No,0.5243,High
497,Research & Development,Laboratory Technician,27,3816,5,2,No,No,0.1645,Low
498,Sales,Sales Executive,28,5253,7,4,No,No,0.2502,Low
499,Research & Development,Healthcare Representative,49,10965,5,3,No,No,0.2299,Low
